sample_id,context,label_value,label_name,resp_0,resp_1,resp_2,resp_3,resp_4,metric_AveragedCosineSimilarity,metric_AveragedDistinctNgrams,metric_BertScore,metric_SD,metric_SD_norm,metric_SSD,metric_SSD_norm,metric_SentBert,metric_TSD,metric_TSD_norm
test.enc.prompt.txt::01240,Not if it,1.0,content_diversity,it's the wrong way to do it.,hurts someone.,cannot be explained logically.,doesn't work.,cannot be completed on time.,-0.015,0.967,-0.319,2.497,0.499,4.909,0.982,-0.477,19.719,0.680
test.enc.prompt.txt::01240,Not if it,0.0,content_diversity,cannot be completed in a timely manner.,it takes too much time to complete.,takes too long to complete.,takes a while to complete.,it takes a long time to do it.,-0.098,0.862,-0.476,2.979,0.596,4.470,0.894,-0.778,21.395,0.578
test.enc.prompt.txt::01241,But I would,1.0,content_diversity,do anything.,pay whatever you want.,like to get to know you.,take you out to eat.,show you how I do it.,-0.034,0.948,-0.210,2.417,0.483,4.955,0.991,-0.317,12.570,0.449
test.enc.prompt.txt::01241,But I would,0.0,content_diversity,teach you how to do it.,help you learn how to do it.,instruct you.,coach you.,explain to you how to do it.,-0.185,0.667,-0.496,2.054,0.411,4.568,0.914,-0.594,11.982,0.413
test.enc.prompt.txt::01242,How long you,1.0,content_diversity,have you been waiting,do turtles live,think will take him to get here,have been without home,think it will be before we get our meal,-0.018,0.963,-0.096,2.254,0.451,4.760,0.952,-0.232,13.855,0.513
test.enc.prompt.txt::01242,How long you,0.0,content_diversity,have been here,waited for me,stayed here,arrived before me,waited here alone,-0.036,0.543,-0.192,2.407,0.481,4.994,0.999,-0.368,11.282,0.806
test.enc.prompt.txt::01243,"Hey, it's okay.",1.0,content_diversity,we can go later,its just fine,hows your day going?,i am okay,lets talk about something else,0.000,1.000,-0.055,2.308,0.462,4.061,0.812,-0.311,15.393,0.770
test.enc.prompt.txt::01243,"Hey, it's okay.",0.0,content_diversity,its perfectly fine,oh its fine now,everything is okay,it is fine,i am all fine now,-0.056,0.918,-0.413,1.765,0.353,4.531,0.906,-0.821,14.316,0.795
test.enc.prompt.txt::01244,I didn't say,1.0,content_diversity,that.,what she said I said.,I couldn't help you.,I didn't understand.,you couldn't see him.,-0.024,0.941,-0.360,2.275,0.455,4.283,0.857,-0.342,14.066,0.502
test.enc.prompt.txt::01244,I didn't say,0.0,content_diversity,there's nothing I can do.,I couldn't do anything for you.,I could not assist.,I couldn't aid with this.,give you a helping hand.,-0.040,0.942,-0.377,2.067,0.413,4.049,0.810,-0.595,21.696,0.603
test.enc.prompt.txt::01245,During the road,1.0,content_diversity,"rage, people loose their minds",you should be focused only on road,you can't be phoning,you shouldn't sleep,"driving, you need to have a license",-0.029,0.969,-0.109,2.317,0.463,4.646,0.929,-0.205,18.012,0.563
test.enc.prompt.txt::01245,During the road,0.0,content_diversity,you cant get distracted,you should remain focused,you can't sleep,you need to focus,you can't lose control,-0.067,0.733,-0.354,1.682,0.336,4.734,0.947,-0.589,11.575,0.503
test.enc.prompt.txt::01246,Your mind kept,1.0,content_diversity,going everywhere,you awake,making you think,up with everything,dreaming,-0.008,0.582,-0.191,2.904,0.581,4.999,1.000,-0.349,10.088,0.917
test.enc.prompt.txt::01246,Your mind kept,0.0,content_diversity,i like to make you think about stuff,stop and think,gotta think first,think before anything else,always think about it,-0.058,0.943,-0.117,2.194,0.439,4.972,0.994,-0.412,13.643,0.620
test.enc.prompt.txt::01247,But you haven't,1.0,content_diversity,gone there yet,bught me a soda,nailed the wall,fed the dog,gotten a job,-0.012,0.775,-0.072,1.609,0.322,4.989,0.998,-0.093,10.210,0.638
test.enc.prompt.txt::01247,But you haven't,0.0,content_diversity,obtained a way to get paid,started working anywhere,gotten off of unemployment,becomea  productive member of society,found a legitimate way to make money,-0.017,0.958,-0.121,2.111,0.422,4.935,0.987,-0.421,15.695,0.628
test.enc.prompt.txt::01248,I'd like you,1.0,content_diversity,to meet my parents,to send him my condolences,to improve your swimming technique,to start acting according to your age,to stop talking gibberish,-0.060,0.944,-0.236,1.519,0.304,4.949,0.990,-0.124,15.951,0.638
test.enc.prompt.txt::01248,I'd like you,0.0,content_diversity,to introduce you to my parents,to come and meet my parents,to finally meet with my parents,to meet my mom and dad,to introduce you my mom and dad,-0.166,0.775,-0.470,1.685,0.337,4.931,0.986,-0.780,16.802,0.542
test.enc.prompt.txt::01249,Nothing. She wanted,1.0,content_diversity,to know directions to the drive through is all.,money but I gave her nothing.,it all just to go away so that she was free again.,to know if I knew someone and I didn't.,to arrest me but couldnt pin anything on me.,-0.029,0.951,-0.133,2.950,0.590,4.804,0.961,-0.150,31.628,0.608
test.enc.prompt.txt::01249,Nothing. She wanted,0.0,content_diversity,"to know how to get to the drive through,",a route to get to Macdonalds.,know directions on how to get to the drive through.,details on where the drive through is.,information on how to find a macdonalds.,-0.161,0.738,-0.448,2.792,0.558,4.493,0.899,-0.546,26.435,0.601
test.enc.prompt.txt::01250,Are you for,1.0,content_diversity,a dance,a date in a restaurant,democrats or republicans,a coffee after desert,this new movie,-0.025,0.965,-0.047,1.940,0.388,4.991,0.998,-0.096,10.508,0.618
test.enc.prompt.txt::01250,Are you for,0.0,content_diversity,a nice dinner in a restaurant,dinner in a fancy restaurant,a date somewhere nice,a date with me in a fancy dinner,a dinner in a classy restaurant,-0.188,0.786,-0.489,2.249,0.450,4.659,0.932,-0.729,15.361,0.530
test.enc.prompt.txt::01251,It's a good,1.0,content_diversity,day to go shopping.,day to plan a wedding.,day to get some chores done.,time to invest in the stock market.,time to get some work done.,-0.094,0.874,-0.445,1.554,0.311,4.978,0.996,-0.329,17.872,0.542
test.enc.prompt.txt::01251,It's a good,0.0,content_diversity,day outside. Let's go shopping.,time to get some shopping done.,time to go shopping.,day for shopping.,day for going shopping.,-0.100,0.874,-0.599,1.999,0.333,4.335,0.867,-0.801,19.448,0.648
test.enc.prompt.txt::01252,It seems your,1.0,content_diversity,"dress is on backwards, Miss.",checking account has been overdrawn.,adorable cat has taken quite a liking to me!,actions have gotten you a first class seat in detention.,party doesn’t have quite as many people as we’d expected.,-0.009,0.974,-0.105,2.460,0.492,4.993,0.999,-0.125,31.365,0.640
test.enc.prompt.txt::01252,It seems your,0.0,content_diversity,sweet little kitten adores getting attention!,"cat is begging for attention, so have you been giving her any?",cat is very sociable and friendly around other people!,"kitty is extremely affectionate, what a sweetheart!",time spent with your cat isn’t enough because she is starved for attention.,-0.021,0.970,-0.252,2.754,0.551,4.945,0.989,-0.458,38.900,0.695
test.enc.prompt.txt::01253,I wouldn't accept,1.0,content_diversity,anything but the truth,not loving you anymore,money from her,you leaving,mediocreness,-0.007,0.786,0.028,2.841,0.568,4.907,0.981,-0.275,10.943,0.782
test.enc.prompt.txt::01253,I wouldn't accept,0.0,content_diversity,i dont want you leave,cannot think of you going,the thought of you going sucks,wow i dont want you to go,please dont say you're laving me,-0.090,0.850,-0.259,2.481,0.496,3.928,0.786,-0.559,19.894,0.642
test.enc.prompt.txt::01254,In a magazine,1.0,content_diversity,so many pages,theres lots of advertisements,i saw there was a model who was pretty,there was a car,that was boring,-0.038,0.919,-0.183,2.157,0.431,4.521,0.904,-0.191,13.771,0.599
test.enc.prompt.txt::01254,In a magazine,0.0,content_diversity,a lot of pages were inside of it,there were many pages,a bunch of pages were inside,there were alot of paper pages,i think there was a lot of content on the pages,-0.129,0.829,-0.513,2.165,0.433,4.937,0.987,-0.703,20.024,0.572
test.enc.prompt.txt::01255,I don't know...,1.0,content_diversity,why this happens,think so,know anyone who can,what time it is,where it went,-0.006,0.787,-0.137,2.656,0.531,4.869,0.974,-0.350,12.029,0.752
test.enc.prompt.txt::01255,I don't know...,0.0,content_diversity,not sure why this keeps happening,why does this keep occurring,can this stop happening,i cant belive it keeps happening,why did it keep happening,-0.062,0.914,-0.445,2.202,0.440,4.836,0.967,-0.652,16.659,0.641
test.enc.prompt.txt::01256,Why do you,1.0,content_diversity,think is was,always do that,not think first,not like me,eat that first,-0.027,0.547,-0.154,3.586,0.717,4.986,0.997,-0.249,11.769,0.785
test.enc.prompt.txt::01256,Why do you,0.0,content_diversity,how come you constantly do the same thing,you always do this,cant just do that,always do these things,do that to yourself,-0.071,0.921,-0.226,2.399,0.480,4.513,0.903,-0.428,14.403,0.600
test.enc.prompt.txt::01257,Don't you think,1.0,content_diversity,you should check?,you should hear him out?,you've done enough?,it's time to quit?,it's time to try again?,-0.051,0.890,-0.390,1.703,0.341,4.870,0.974,-0.380,15.873,0.512
test.enc.prompt.txt::01257,Don't you think,0.0,content_diversity,it's time to go?,this is the end?,it's pointless to go on?,it's the end of the road?,it's time to move on?,-0.071,0.890,-0.469,1.908,0.382,4.909,0.982,-0.565,16.610,0.449
test.enc.prompt.txt::01258,You know what,1.0,content_diversity,"I've had enough, I'm, out of here.",I really think I like the bigger one better than the smaller one.,you have some knid of nerve coming here today.,"I think you are really, really dumb.",this is used for? I bet you can't guess.,-0.025,0.951,-0.092,2.547,0.424,4.967,0.993,-0.204,37.027,0.617
test.enc.prompt.txt::01258,You know what,0.0,content_diversity,I'd go for the big one over the small one.,I think the small one isn't as good as the bigger one.,I really think the bigger one is the best of the two.,I would choose the big one over the small one every time.,"I like the bigger one much better than the smaller one,",-0.185,0.782,-0.537,2.309,0.462,4.948,0.990,-0.584,33.056,0.501
test.enc.prompt.txt::01259,Where the hell,1.0,content_diversity,did you find these socks,do you think we're going,did you get these scars,do you think we should take him,did you leave your phone,-0.089,0.885,-0.266,1.339,0.268,4.400,0.880,-0.282,14.462,0.499
test.enc.prompt.txt::01259,Where the hell,0.0,content_diversity,you think we're gonna go,you think we're heading,you think we will go,you believe we're going,you think we're headed to,-0.172,0.818,-0.562,1.146,0.229,4.500,0.900,-0.772,11.990,0.387
test.enc.prompt.txt::01260,May I ask,1.0,content_diversity,where did you get this number?,how did you find me,how did you get your driving license,how didn't you see him crossing the road,do you like eggs,-0.087,0.888,-0.297,2.057,0.411,3.970,0.794,-0.250,23.733,0.719
test.enc.prompt.txt::01260,May I ask,0.0,content_diversity,how did you get my number,who gave you my phone number,how did you acquire this number,who told you my number,where did you find my phone number,-0.148,0.817,-0.501,1.643,0.329,4.936,0.987,-0.747,18.059,0.602
