sample_id,context,label_value,label_name,resp_0,resp_1,resp_2,resp_3,resp_4,metric_abs_hds_mean,metric_abs_hds_std,metric_averaged_cosine_similarity,metric_averaged_distinct_ngrams,metric_bert_score,metric_s_d,metric_s_d_norm,metric_s_s_d,metric_s_s_d_norm,metric_sent_bert,metric_t_s_d,metric_t_s_d_norm
test.enc.prompt.txt::01240,Not if it,1.0,content_diversity,it's the wrong way to do it.,hurts someone.,cannot be explained logically.,doesn't work.,cannot be completed on time.,4.389,0.393,-0.015,0.967,-0.319,2.153,0.431,4.909,0.982,-0.477,11.084,0.616
test.enc.prompt.txt::01241,But I would,0.0,content_diversity,teach you how to do it.,help you learn how to do it.,instruct you.,coach you.,explain to you how to do it.,1.833,0.471,-0.185,0.667,-0.496,1.306,0.261,4.568,0.914,-0.594,6.472,0.588
test.enc.prompt.txt::01245,During the road,0.0,content_diversity,you cant get distracted,you should remain focused,you can't sleep,you need to focus,you can't lose control,2.444,0.685,-0.067,0.733,-0.354,2.532,0.506,4.734,0.947,-0.589,6.936,0.631
test.enc.prompt.txt::01246,Your mind kept,0.0,content_diversity,i like to make you think about stuff,stop and think,gotta think first,think before anything else,always think about it,2.111,0.737,-0.058,0.943,-0.117,2.458,0.492,4.972,0.994,-0.412,11.299,0.807
test.enc.prompt.txt::01247,But you haven't,0.0,content_diversity,obtained a way to get paid,started working anywhere,gotten off of unemployment,becomea  productive member of society,found a legitimate way to make money,3.056,0.831,-0.017,0.958,-0.121,2.129,0.426,4.935,0.987,-0.421,13.044,0.725
test.enc.prompt.txt::01252,It seems your,1.0,content_diversity,"dress is on backwards, Miss.",checking account has been overdrawn.,adorable cat has taken quite a liking to me!,actions have gotten you a first class seat in detention.,party doesn’t have quite as many people as we’d expected.,4.778,0.416,-0.009,0.974,-0.105,2.585,0.517,4.993,0.999,-0.125,20.650,0.712
test.enc.prompt.txt::01256,Why do you,1.0,content_diversity,think is was,always do that,not think first,not like me,eat that first,3.667,0.408,-0.027,0.547,-0.154,2.305,0.461,4.986,0.997,-0.249,6.369,0.910
test.enc.prompt.txt::01259,Where the hell,1.0,content_diversity,did you find these socks,do you think we're going,did you get these scars,do you think we should take him,did you leave your phone,4.611,0.458,-0.089,0.885,-0.266,1.444,0.289,4.400,0.880,-0.282,8.873,0.807
test.enc.prompt.txt::01265,"Eve, I don't",0.0,content_diversity,think you want to make any rash decisions.,know why you don't want to think this through.,think you should rush this decision.,know why you need to make such a sudden decision.,know why you need to make a hasty decision.,2.000,0.645,-0.147,0.774,-0.476,1.634,0.327,4.698,0.940,-0.636,9.905,0.367
test.enc.prompt.txt::01266,Get out of,1.0,content_diversity,my house!,here scoundrel!,"the car, right now.",there.,"there, it's going to blow.",3.889,0.393,0.000,1.000,-0.242,2.222,0.444,4.867,0.973,-0.221,8.839,0.631
test.enc.prompt.txt::01267,"Say,...did you just",1.0,content_diversity,say what I think you did?,see that in the sky or was it just me?,pick up my cup of coffee by mistake?,Turn off the TV? I was watching that!,Cut in line? That'svery rude you know.,4.889,0.208,-0.013,0.974,-0.003,2.033,0.290,4.653,0.931,-0.158,12.913,0.538
test.enc.prompt.txt::01273,Watching television in,1.0,content_diversity,my underwear.,my room.,my parent's bedroom.,my car.,my living room.,3.857,0.742,-0.094,0.517,-0.515,1.609,0.322,4.941,0.988,-0.382,7.328,0.564
test.enc.prompt.txt::01278,I didn't know,1.0,content_diversity,"you like boys, i'm not homophobic btw",you are a virgin,you can't swim,you are such a good student,you don't have any friends,4.389,0.737,-0.056,0.942,-0.218,2.012,0.402,4.955,0.991,-0.176,8.676,0.667
test.enc.prompt.txt::01285,Why?! I think,1.0,content_diversity,I may like it here.,the brown color looks better than the blue.,cats are better pets than dogs.,she is far prettier than your wife.,it is raining outside.,4.778,0.478,-0.019,0.960,-0.241,2.751,0.550,4.914,0.983,-0.194,9.856,0.469
test.enc.prompt.txt::01286,"Yes, I have",1.0,content_diversity,been waiting for you a long time,many friends,the newest technology,parents who support me,an umbrella here,4.889,0.314,0.000,1.000,-0.034,2.407,0.481,4.997,0.999,-0.180,8.440,0.844
test.enc.prompt.txt::01287,No. I admire,1.0,content_diversity,you and your efforts,what you do,that you are good,everything about you,your skills,2.833,0.408,-0.042,0.750,-0.272,3.789,0.758,4.997,0.999,-0.552,3.994,0.999
test.enc.prompt.txt::01289,"Adam...dumb question, but",0.0,content_diversity,do you think we could end up together,do you think we can be a couple,do you think we can be in a relationship,do you think we could be romantic partners,do you think we could be lovers,1.889,0.515,-0.416,0.579,-0.770,1.793,0.359,4.436,0.887,-0.816,8.983,0.599
test.enc.prompt.txt::01292,We can make,0.0,content_diversity,the plan successful.,proposal great.,design really good.,the work get done.,plan work out.,2.889,0.875,-0.018,0.760,-0.435,1.811,0.362,4.954,0.991,-0.507,9.608,0.565
test.enc.prompt.txt::01294,Helen-Thomas-Webber! Maybe we,1.0,content_diversity,can ask her!,can get in touch with her.,can call her.,should find her.,include her.,2.611,0.875,-0.054,0.941,-0.612,1.306,0.261,4.653,0.931,-0.641,7.840,0.713
test.enc.prompt.txt::01305,Unless we get,1.0,content_diversity,"our revenge, I give up","his notes, it is not possible","the files, we can't succeed","the weather forecast, we can't be sure","our hands on drugs, we can't be profitable",4.611,0.393,-0.045,0.922,-0.267,2.028,0.406,4.994,0.999,-0.276,6.793,0.340
test.enc.prompt.txt::01313,We stay down,1.0,content_diversity,"we stay alive, it's as simple as that.",south for the first week the north the second.,"at the lakeside, we've been here about a fortnight.","town in the swankiest hotel there is, we deserve it!","where the pollution is the thinnest, its healthier that way,",4.333,0.527,-0.032,0.961,0.002,2.066,0.413,4.997,0.999,-0.140,19.310,0.666
test.enc.prompt.txt::01318,"Stop it, you",0.0,content_diversity,sorry this is off limits,you cant come into here,"you cant go in, sorry",sorry you are not allowed,you cannot come in,1.444,0.369,-0.051,0.931,-0.339,2.027,0.405,4.940,0.988,-0.690,8.843,0.884
test.enc.prompt.txt::01320,It means that,1.0,content_diversity,we get to go today,we should rethink everything,you should be more careful,try again,go home,3.889,0.875,-0.015,0.967,-0.168,1.861,0.372,4.984,0.997,-0.224,7.415,0.927
test.enc.prompt.txt::01331,"To your health,",0.0,content_diversity,you should avoid junk food,you need to avoid burgers,you shouldn't be eating fast food,don't eat junk food,you better avoid processed food,2.167,0.408,-0.070,0.918,-0.569,2.020,0.404,4.890,0.978,-0.754,8.417,0.468
test.enc.prompt.txt::01332,"Frank, I have",1.0,content_diversity,a question for you,been waiting for you 30 minutes,something to tell you,a juicy gossip to tell you,a practice today so I can't go with you,3.611,0.393,-0.082,0.902,-0.121,2.155,0.431,4.996,0.999,-0.198,8.448,0.650
test.enc.prompt.txt::01337,Yes it's me!!!,1.0,content_diversity,i am here,who did it,i am the 1,hello everyone,hi there,3.611,1.021,-0.020,0.749,-0.283,1.986,0.397,4.791,0.958,-0.437,3.971,0.993
test.enc.prompt.txt::00350,"Yeah, I study",0.0,content_diversity,to get an A,To have the highest score possible,to get good grades,for my exams,for better grade in my exam,2.250,0.433,-0.026,0.954,-0.287,2.204,0.441,4.995,0.999,-0.412,9.402,0.855
test.enc.prompt.txt::00352,"Mr. President, it's",1.0,content_diversity,raining outside,time to go,not within your jurisdiction,the President of France,wife on the phone,4.389,0.657,-0.005,0.788,-0.144,3.701,0.740,4.995,0.999,-0.109,6.757,0.676
test.enc.prompt.txt::00354,"Uh, we got",1.0,content_diversity,a ticket from that cop that pulled us over.,suspended from school for our senior day prank.,two tickets for the Superbowl so only we can go.,arrested for drinking in public in San Antonio last weekend.,in trouble for getting bad grades and now we are both grounded.,4.312,0.827,-0.019,0.967,-0.189,2.395,0.479,4.998,1.000,-0.209,17.613,0.587
